method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,extra_trees,5,internal_train,0.7809164647385889,0.7059614651447574,0.7126130131910479,0.6124555160142349,0.6693893426682225,0.6396580561233971,0.19010703772405252,0.7392241379310345,0.7840995681991364,0.7691038476296512,0.7917678987626624,0.6891951177601685,0.7225819983612165
mean_mode,extra_trees,5,internal_val,0.7065842703464498,0.6037769860100123,0.6645919778699861,0.5555555555555556,0.5989110707803993,0.5764192139737991,0.2176700665925369,0.7050279329608938,0.7406103286384976,0.6798215547472366,0.7365429081164238,0.5651090609713334,0.6461606881190911
mean_mode,extra_trees,5,internal_test,0.7158594328240172,0.601079308769635,0.6721991701244814,0.5608214849921012,0.6442831215970962,0.5996621621621622,0.21731078933964076,0.6893854748603352,0.7589175891758918,0.6919155997145402,0.7426598527853984,0.5607798305582675,0.64702698396505
mean_mode,extra_trees,5,external_main,0.642406937394247,0.4374048572808555,0.6449918493026625,0.4027355623100304,0.5044416243654822,0.447887323943662,0.22712341014954152,0.7011406844106464,0.7798139272624753,0.6231809781014395,0.6576322898199335,0.4130574446173037,0.4645196274297937
mean_mode,extra_trees,5,external_transfer,0.642406937394247,0.4374048572808555,0.6449918493026625,0.4027355623100304,0.5044416243654822,0.447887323943662,0.22712341014954152,0.7011406844106464,0.7798139272624753,0.6293219421205816,0.6561613624301265,0.41299889684295216,0.4644245941299012
mean_mode,extra_trees,10,internal_train,0.8515423467768255,0.789921585299773,0.7624129242626353,0.6627437794216543,0.7666277712952159,0.7109107303877367,0.16326303426662747,0.7598180076628352,0.8409753511794328,0.8430646866168328,0.8586042000963163,0.7745406304879253,0.8050414267662388
mean_mode,extra_trees,10,internal_val,0.7240943333096757,0.6278120546395826,0.6701244813278008,0.5589171974522293,0.6370235934664247,0.5954198473282443,0.21020193262982675,0.6905027932960894,0.7555012224938875,0.6992007445713592,0.7463535680500248,0.5819170187448451,0.6645093235274472
mean_mode,extra_trees,10,internal_test,0.739605998235813,0.6408037707128931,0.6687413554633471,0.5520231213872833,0.6932849364791288,0.6146419951729686,0.20818437768817277,0.6536312849162011,0.7758620689655172,0.7116970566757866,0.7656873999818701,0.5952404197042782,0.6914620928698934
mean_mode,extra_trees,10,external_main,0.6326290105704708,0.4263545750036487,0.5913783734830647,0.3659305993690852,0.5888324873096447,0.45136186770428016,0.25077270876214297,0.5923954372623574,0.7829145728643216,0.6140432148670798,0.6483143972730327,0.40139654528136215,0.45335117769973243
mean_mode,extra_trees,10,external_transfer,0.6326290105704708,0.4263545750036487,0.5913783734830647,0.3659305993690852,0.5888324873096447,0.45136186770428016,0.25077270876214297,0.5923954372623574,0.7829145728643216,0.6160712048990964,0.65067838377284,0.4022657612323821,0.4513328262297167
mean_mode,extra_trees,15,internal_train,0.9098368313088366,0.8713025342305718,0.8153253297761969,0.7263409634437991,0.8269155970439518,0.7733721353219353,0.13891135337716348,0.8081896551724138,0.8835078534031413,0.9037871517208307,0.9167615222108232,0.8608258501279198,0.8818348070476383
mean_mode,extra_trees,15,internal_val,0.7321021200661063,0.6178010271779095,0.690179806362379,0.5862646566164154,0.6352087114337568,0.6097560975609756,0.20656905247932447,0.7240223463687151,0.7632508833922261,0.709098299917138,0.7604534222332925,0.5810585416577698,0.6605210232474195
mean_mode,extra_trees,15,internal_test,0.7407192610692596,0.6300030949403033,0.6894882434301521,0.5758928571428571,0.7023593466424682,0.6328699918233851,0.20671877183507892,0.6815642458100558,0.7881136950904393,0.7158363657085521,0.7626883782261953,0.5861895358516498,0.6746399904388284
mean_mode,extra_trees,15,external_main,0.6456991919347886,0.4319051620930227,0.6142003260278935,0.3851575456053068,0.5894670050761421,0.46589769307923773,0.23840418919827408,0.6240811153358682,0.7918944998391766,0.6313190736602757,0.6642204356711153,0.41128822346627736,0.45522916092292826
mean_mode,extra_trees,15,external_transfer,0.6456991919347886,0.4319051620930227,0.6142003260278935,0.3851575456053068,0.5894670050761421,0.46589769307923773,0.23840418919827408,0.6240811153358682,0.7918944998391766,0.6302212939628972,0.6597625761049898,0.40306093284707134,0.4547167490078034
mean_mode,extra_trees,20,internal_train,0.9464048140100831,0.9228560616124792,0.8614198903216245,0.7846207376478775,0.8770906262154804,0.8282828282828283,0.12200183764750898,0.851772030651341,0.9184095016782856,0.9420180878275611,0.9511057567142144,0.9159009468962348,0.9290785033849077
mean_mode,extra_trees,20,internal_val,0.7306887426618945,0.6258159904938105,0.6977869986168741,0.5969387755102041,0.6370235934664247,0.6163301141352063,0.2056362531500466,0.735195530726257,0.7668997668997669,0.7057023946755757,0.7546704536893571,0.5828957693145099,0.6716104347889593
mean_mode,extra_trees,20,internal_test,0.7426862281884639,0.6410429218610361,0.6825726141078838,0.5716510903426791,0.6660617059891107,0.6152556580050293,0.20383388916013012,0.6927374301675978,0.7711442786069652,0.7148841666297538,0.7715314057961726,0.5942374061073503,0.6768074324142223
mean_mode,extra_trees,20,external_main,0.6595940051340448,0.4492948043597902,0.6623800036225321,0.4246073298429319,0.5145939086294417,0.4652897303499713,0.21774007747708865,0.7214195183776932,0.7881473276100803,0.6433655861427149,0.6721531490268354,0.4232852481436091,0.4763675398544017
mean_mode,extra_trees,20,external_transfer,0.6595940051340448,0.4492948043597902,0.6623800036225321,0.4246073298429319,0.5145939086294417,0.4652897303499713,0.21774007747708873,0.7214195183776932,0.7881473276100803,0.6457554238549577,0.6764203358033891,0.4260340786939029,0.47794820920247644
mean_mode,extra_trees,25,internal_train,0.974227764812654,0.9625112019913182,0.90143767600415,0.8374645892351275,0.9198755348113574,0.8767377201112141,0.10365092129599326,0.8900862068965517,0.9474891664542442,0.9716568968687007,0.9765986305517613,0.9585860863112132,0.967026833095041
mean_mode,extra_trees,25,internal_val,0.7320139107159152,0.6291011100914721,0.69432918395574,0.5925297113752123,0.6333938294010889,0.612280701754386,0.20455692438489959,0.7318435754189944,0.764294049008168,0.706295666412982,0.7520673036773007,0.5867542057332288,0.6717128910892876
mean_mode,extra_trees,25,internal_test,0.7474333106895537,0.6459968183773344,0.6922544951590595,0.5825545171339563,0.6787658802177858,0.6269907795473596,0.20124610287790445,0.7005586592178771,0.7798507462686567,0.725709448181837,0.7704761697183231,0.5982577653244334,0.6963568187752647
mean_mode,extra_trees,25,external_main,0.6565500086854144,0.44853612079563204,0.6585763448650607,0.4171581769436997,0.4936548223350254,0.45219412961348443,0.21647001971182622,0.7244613434727503,0.7817286652078774,0.6408182185279745,0.6730445601141022,0.4271359296216596,0.47341386732253843
mean_mode,extra_trees,25,external_transfer,0.6565500086854144,0.44853612079563204,0.6585763448650607,0.4171581769436997,0.4936548223350254,0.45219412961348443,0.21647001971182622,0.7244613434727503,0.7817286652078774,0.6397663587822416,0.6733074598067058,0.4227613650841746,0.4733727310716966
mean_mode,extra_trees,30,internal_train,0.9794885593959146,0.9699217810743677,0.9144805098562324,0.8576040172166427,0.9299883313885647,0.8923306587049823,0.1014776597234209,0.9049329501915708,0.954533973225562,0.97696224945342,0.9818985075326939,0.9666098967807714,0.973306480648637
mean_mode,extra_trees,30,internal_val,0.7347879426943393,0.629636013787972,0.690179806362379,0.5877342419080068,0.6261343012704175,0.6063268892794376,0.203318763017437,0.729608938547486,0.760186263096624,0.7086931753749143,0.7591076800654828,0.5883472973025281,0.671239057907903
mean_mode,extra_trees,30,internal_test,0.7446410285007453,0.6400998308599828,0.6846473029045643,0.5748031496062992,0.662431941923775,0.6155143338954469,0.2022850989121727,0.6983240223463687,0.7706535141800247,0.7182609403541244,0.7684933075825994,0.6017291782020824,0.6881153880510362
mean_mode,extra_trees,30,external_main,0.6659940295818778,0.46368577061555477,0.6725230936424561,0.43287037037037035,0.4746192893401015,0.45278450363196127,0.20852028557840924,0.7515842839036755,0.7817031373582916,0.6522444177263621,0.6807476138806601,0.44005645780842223,0.4900556712462051
mean_mode,extra_trees,30,external_transfer,0.6659940295818778,0.46368577061555477,0.6725230936424561,0.43287037037037035,0.4746192893401015,0.45278450363196127,0.2085202855784092,0.7515842839036755,0.7817031373582916,0.6494859801605138,0.6812106754889484,0.43965963481308695,0.4896779030986522
mean_mode,extra_trees,35,internal_train,0.9871725374833652,0.9807851999078049,0.9319697643397066,0.8851203501094091,0.9439906651108518,0.9136081309994354,0.09298011229133148,0.9245689655172413,0.9640449438202248,0.9856809973164306,0.9887226140719236,0.9780985267936813,0.9839616825886996
mean_mode,extra_trees,35,internal_val,0.7344229384866521,0.6314118975870122,0.6922544951590595,0.5920138888888888,0.6188747731397459,0.6051464063886424,0.20320640628629827,0.7374301675977654,0.7586206896551724,0.7127053210386965,0.7622344090328068,0.5908661466060581,0.6759802696549482
mean_mode,extra_trees,35,internal_test,0.7455109551957335,0.6440531227573714,0.6867219917012448,0.5765625,0.6696914700544465,0.6196473551637279,0.2013871975124721,0.6972067039106146,0.7741935483870968,0.7184954448006665,0.7732906326171245,0.6014306656882847,0.6928122002677237
mean_mode,extra_trees,35,external_main,0.664551446604003,0.4583943348690923,0.6746966129324398,0.43567251461988304,0.4727157360406091,0.4534388314059647,0.20839630415452012,0.7553865652724968,0.7819469955392285,0.6493711800261206,0.6795216153219286,0.4353409190617599,0.4824815158104714
mean_mode,extra_trees,35,external_transfer,0.664551446604003,0.4583943348690923,0.6746966129324398,0.43567251461988304,0.4727157360406091,0.4534388314059647,0.20839630415452018,0.7553865652724968,0.7819469955392285,0.6490520744705518,0.6785530959242948,0.43073693095271925,0.4815273494230025
mean_mode,extra_trees,40,internal_train,0.9834676043282651,0.9753533532585521,0.9242626352452942,0.871841155234657,0.9393232205367561,0.9043250327653998,0.09838461062303257,0.9149904214559387,0.9607744531053558,0.9812951065156611,0.9854077633459258,0.9723397956142479,0.9787254477465335
mean_mode,extra_trees,40,internal_val,0.7341735189447323,0.6280403151610834,0.6922544951590595,0.5913793103448276,0.6225045372050817,0.6065428824049514,0.20344493848251063,0.735195530726257,0.7598152424942263,0.705861664925994,0.7656782383056105,0.5882213974595792,0.664113135167258
mean_mode,extra_trees,40,internal_test,0.7486155187622302,0.651113198753292,0.6853388658367912,0.5752351097178683,0.6660617059891107,0.6173254835996635,0.20074725593661738,0.6972067039106146,0.7722772277227723,0.7198279779997911,0.7732665022487507,0.6069281890482342,0.6932614133600693
mean_mode,extra_trees,40,external_main,0.6656268295664369,0.46121552869297,0.6761456257924289,0.43844367015098723,0.47906091370558374,0.4578532443905397,0.20831783096146955,0.7548795944233206,0.7838904974993419,0.6522893158102508,0.6806847196696137,0.4356434692855968,0.4840975840983648
mean_mode,extra_trees,40,external_transfer,0.6656268295664369,0.46121552869297,0.6761456257924289,0.43844367015098723,0.47906091370558374,0.4578532443905397,0.20831783096146955,0.7548795944233206,0.7838904974993419,0.6504077835969501,0.6823109720878358,0.43614044066366003,0.4877330204548102
mean_mode,extra_trees,42,internal_train,0.9795968815151611,0.9698330306197269,0.9153697939825107,0.8584229390681004,0.9315441462465966,0.89349002051856,0.10254543503769914,0.905411877394636,0.9555218599949457,0.9771138008252395,0.9822486906542927,0.9662031328942319,0.9733767168255664
mean_mode,extra_trees,42,internal_val,0.7350353344351053,0.6283722521303365,0.6908713692946058,0.5896551724137931,0.6206896551724138,0.6047745358090185,0.20332624999416493,0.7340782122905027,0.7586605080831409,0.710209198920192,0.7599368875247032,0.5942277228555705,0.6711617418977746
mean_mode,extra_trees,42,internal_test,0.7490190511918401,0.6491042599791975,0.681881051175657,0.5712050078247262,0.662431941923775,0.6134453781512605,0.20068407767481583,0.693854748603352,0.7695167286245354,0.7220307211975675,0.7701432905085733,0.6096077689630091,0.6868141111650198
mean_mode,extra_trees,42,external_main,0.6670911260800474,0.4624099307403542,0.6795870313349031,0.44266191325014853,0.4727157360406091,0.45719545872967166,0.20673051876397033,0.7622306717363752,0.7834809796769151,0.6518326911635688,0.6835837123450409,0.44108043996988133,0.4879282271906979
mean_mode,extra_trees,42,external_transfer,0.6670911260800474,0.4624099307403542,0.6795870313349031,0.44266191325014853,0.4727157360406091,0.45719545872967166,0.20673051876397033,0.7622306717363752,0.7834809796769151,0.6483317721274049,0.6834985648924887,0.4437454789781825,0.4873409896024013
